type,seq,lon,lat
outbound,0,-84.5928,34.0379
outbound,1,-84.5928,34.0379
outbound,2,-84.59355976404959,34.03809233520457
outbound,3,-84.59386503819965,34.03826384971107
outbound,4,-84.5941639648003,34.038442752670555
outbound,5,-84.59445938329911,34.03862573900834
outbound,6,-84.59475480179792,34.03880872534612
outbound,7,-84.59505022029673,34.038991711683906
outbound,8,-84.59534563879554,34.0391746980217
outbound,9,-84.59544177755531,34.039454222401574
outbound,10,-84.59548927391087,34.03975731085519
outbound,11,-84.59553677026643,34.04006039930881
outbound,12,-84.595584266622,34.04036348776243
outbound,13,-84.59563176297756,34.04066657621604
outbound,14,-84.59567925933311,34.04096966466966
outbound,15,-84.59572675568867,34.04127275312328
outbound,16,-84.59561047166179,34.04126639904824
outbound,17,-84.59537356619327,34.04103214586005
outbound,18,-84.59513666072475,34.04079789267186
outbound,19,-84.59505985881822,34.04077281212118
outbound,20,-84.59521460505827,34.04105024536804
outbound,21,-84.59536935129833,34.04132767861489
outbound,22,-84.59552409753839,34.04160511186174
outbound,23,-84.59567884377844,34.0418825451086
return,0,-84.59567884377844,34.0418825451086
return,1,-84.59552409753839,34.04160511186174
return,2,-84.59536935129833,34.04132767861489
return,3,-84.59521460505827,34.04105024536804
return,4,-84.59505985881822,34.04077281212118
return,5,-84.59513666072475,34.04079789267186
return,6,-84.59537356619327,34.04103214586005
return,7,-84.59561047166179,34.04126639904824
return,8,-84.59572675568867,34.04127275312328
return,9,-84.59567925933311,34.04096966466966
return,10,-84.59563176297756,34.04066657621604
return,11,-84.595584266622,34.04036348776243
return,12,-84.59553677026643,34.04006039930881
return,13,-84.59548927391087,34.03975731085519
return,14,-84.59544177755531,34.039454222401574
return,15,-84.59534563879554,34.0391746980217
return,16,-84.59505022029673,34.038991711683906
return,17,-84.59475480179792,34.03880872534612
return,18,-84.59445938329911,34.03862573900834
return,19,-84.5941639648003,34.038442752670555
return,20,-84.59386503819965,34.03826384971107
return,21,-84.59355976404959,34.03809233520457
return,22,-84.5928,34.0379
return,23,-84.5928,34.0379
